emoji/emoticon|key words
😀| face grin grinning face 
😃| face grinning face big eyes mouth open smile 
😄| eye face grinning face smiling eyes mouth open smile 
😁| beaming face smiling eyes eye face grin smile 
😆| face grinning squinting face laugh mouth satisfied smile 
😅| cold face grinning face sweat open smile sweat 
🤣| face floor laugh roll rolling rolling floor laughing total 
😂| face face tears joy joy laugh tear 
🙂| face slightly smiling face smile 
🙃| upside face 
😉| face wink winking face 
😊| blush eye face smile smiling face smiling eyes 
😇| angel face fantasy halo innocent smiling face halo 
🥰| adore crush hearts love smiling face hearts 
😍| eye face love smile smiling face heart eyes 
🤩| eyes face grinning star star struck starry eyed 
😘| face face blowing kiss kiss 
😗| face kiss kissing face 
☺| face outlined relaxed smile smiling face 
😚| closed eye face kiss kissing face closed eyes 
😙| eye face kiss kissing face smiling eyes smile 
🥲| grateful proud relieved smiling smiling face tear tear touched 
😋| delicious face face savouring food savouring smile yum 
😛| face face tongue tongue 
😜| eye face joke tongue wink winking face tongue 
🤪| eye goofy large small zany face 
😝| eye face horrible squinting face tongue taste tongue 
🤑| face money money mouth face mouth 
🤗| hugging face 
🤭| face hand mouth whoops shock sudden realization surprise 
🤫| quiet shush hushing face 
🤔| thinking face 
🤐| face mouth zipper zipper mouth face 
🤨| distrust face raised eyebrow sceptic disapproval disbelief mild surprise scepticism 
😐| neutral face 
😑| expressionless face 
😶| face face without mouth mouth quiet silent 
😶‍🌫️| face clouds 
😏| face smirk smirking face 
😒| unamused face 
🙄| eyeball eyes face face rolling eyes rolling 
😬| face grimace grimacing face 
😮‍💨| face exhaling 
🤥| face lie lying face pinocchio 
😌| relieved face 
😔| pensive face 
😪| face sleep sleepy face 
🤤| drooling face 
😴| face sleep sleeping face izz 
😷| cold doctor face face medical mask mask sick 
🤒| face face thermometer ill sick thermometer 
🤕| bandage face face head bandage hurt injury 
🤢| nauseated face 
🤮| face vomiting sick vomit 
🤧| face gesundheit sneeze sneezing face 
🥵| feverish heat stroke hot hot face red faced sweating 
🥶| blue faced cold cold face freezing frostbite icicles 
🥴| dizzy intoxicated tipsy uneven eyes wavy mouth woozy face 
😵| dead face knocked knocked face 
😵‍💫| face spiral eyes 
🤯| exploding head mind blown shocked 
🤠| cowboy hat face 
🥳| celebration hat horn party partying face 
🥸| disguise disguised face face glasses incognito nose 
😎| bright cool face smiling face sunglasses sun sunglasses 
🤓| nerd face 
🧐| face monocle stuffy wealthy 
😕| confused face 
😟| worried face 
🙁| face frown slightly frowning face 
☹| face frown frowning face 
😮| face face open mouth mouth open sympathy 
😯| hushed face 
😲| astonished face 
😳| flushed face 
🥺| begging mercy pleading face puppy eyes 
😦| face frown frowning face open mouth mouth open 
😧| anguished face 
😨| fearful face 
😰| anxious face sweat blue cold face rushed sweat 
😥| disappointed face relieved sad relieved face whew 
😢| cry crying face face sad tear 
😭| cry face loudly crying face sad sob tear 
😱| face face screaming fear fear munch scared scream 
😖| confounded face 
😣| face persevere persevering face 
😞| disappointed face 
😓| cold downcast face sweat face sweat 
😩| weary face 
😫| tired face 
🥱| bored tired yawn yawning face 
😤| face face steam nose triumph won 
😡| pouting face 
😠| angry face 
🤬| face symbols mouth swearing cursing 
😈| face fairy tale fantasy horns smile smiling face horns 
👿| angry face horns demon devil face fantasy imp 
💀| death face fairy tale monster skull 
☠| crossbones death face monster skull skull crossbones 
💩| dung face monster pile poo poo poop 
🤡| clown face 
👹| creature face fairy tale fantasy monster ogre troll 
👺| creature face fairy tale fantasy goblin monster 
👻| creature face fairy tale fantasy ghost monster 
👽| alien creature extraterrestrial face fantasy ufo 
👾| alien monster 
🤖| face monster robot 
😺| grinning cat 
😸| cat eye face grin grinning cat smiling eyes smile 
😹| cat cat tears joy face joy tear 
😻| cat eye face heart love smile smiling cat heart eyes 
😼| cat cat wry smile face ironic smile wry 
😽| cat eye face kiss kissing cat 
🙀| weary cat 
😿| cat cry crying cat face sad tear 
😾| pouting cat 
🙈| evil face forbidden monkey see see no evil monkey 
🙉| evil face forbidden hear hear no evil monkey monkey 
🙊| evil face forbidden monkey speak speak no evil monkey 
💋| kiss kiss mark lips 
💌| love letter 
💘| arrow cupid heart arrow 
💝| heart ribbon ribbon valentine 
💖| excited sparkle sparkling heart 
💗| excited growing growing heart nervous pulse 
💓| beating beating heart heartbeat pulsating 
💞| revolving revolving hearts 
💕| love two hearts 
💟| heart heart decoration 
❣| exclamation heart exclamation mark punctuation 
💔| break broken broken heart 
❤️‍🔥| heart fire 
❤️‍🩹| mending heart 
❤| heart red heart 
🧡| orange orange heart 
💛| yellow yellow heart 
💚| green green heart 
💙| blue blue heart 
💜| purple purple heart 
🤎| brown heart 
🖤| black black heart evil wicked 
🤍| white heart 
💯| full hundred hundred points score 
💢| anger symbol angry comic mad 
💥| boom collision comic 
💫| comic dizzy star 
💦| comic splashing sweat sweat droplets 
💨| comic dash dashing away running 
🕳| hole 
💣| bomb comic 
💬| speech balloon 
👁️‍🗨️| eye eye speech bubble speech bubble witness 
🗨| dialog left speech bubble speech 
🗯| angry balloon bubble mad right anger bubble 
💭| thought balloon 
💤| comic sleep izz 
👋| waving hand 
🤚| backhand raised raised back hand 
🖐| finger hand hand fingers splayed splayed 
✋| hand high high five raised hand 
🖖| finger hand spock vulcan vulcan salute 
👌| ok hand 
🤌| pinched fingers 
🤏| pinching hand small amount 
✌| victory hand 
🤞| cross crossed fingers finger hand luck 
🤟| hand ill love gesture 
🤘| finger hand horns rock sign horns 
🤙| call call hand hand 
👈| backhand backhand index pointing left finger hand index point 
👉| backhand backhand index pointing right finger hand index point 
👆| backhand backhand index pointing finger hand point 
🖕| finger hand middle finger 
👇| backhand backhand index pointing finger hand point 
☝| finger hand index index pointing point 
👍| hand thumb thumbs 
👎| hand thumb thumbs 
✊| clenched fist hand punch raised fist 
👊| clenched fist hand oncoming fist punch 
🤛| fist left facing fist leftwards 
🤜| fist right facing fist rightwards 
👏| clap clapping hands hand 
🙌| celebration gesture hand hooray raised raising hands 
👐| hand open open hands 
🤲| palms together prayer cupped hands 
🤝| agreement hand handshake meeting shake 
🙏| ask folded hands hand high high five please pray thanks 
✍| hand write writing hand 
💅| nail polish 
🤳| camera phone self 
💪| biceps comic flex flexed biceps muscle 
🦾| accessibility mechanical arm prosthetic 
🦿| accessibility mechanical leg prosthetic 
🦵| kick leg limb 
🦶| foot kick stomp 
👂| body ear 
🦻| accessibility ear hearing aid hard hearing 
👃| body nose 
🧠| brain intelligent 
🫀| anatomical heart 
🫁| breath exhalation inhalation lungs organ respiration 
🦷| dentist tooth 
🦴| bone skeleton 
👀| eye eyes face 
👁| body eye 
👅| body tongue 
👄| lips mouth 
👶| baby young 
🧒| child gender neutral unspecified gender young 
👦| boy young 
👧| girl virgo young zodiac 
🧑| adult gender neutral person unspecified gender 
👱| blond blond haired person hair person blond hair 
👨| adult man 
🧔| beard person person beard bewhiskered 
🧔‍♂️| man beard 
🧔‍♀️| woman beard 
👨‍🦰| man red hair 
👨‍🦱| man curly hair 
👨‍🦳| man white hair 
👨‍🦲| man bald 
👩| adult woman 
👩‍🦰| woman red hair 
🧑‍🦰| person red hair 
👩‍🦱| woman curly hair 
🧑‍🦱| person curly hair 
👩‍🦳| woman white hair 
🧑‍🦳| person white hair 
👩‍🦲| woman bald 
🧑‍🦲| person bald 
👱‍♀️| blond haired woman blonde hair woman woman blond hair 
👱‍♂️| blond blond haired man hair man man blond hair 
🧓| adult gender neutral old older person unspecified gender 
👴| old man 
👵| old woman 
🙍| frown gesture person frowning 
🙍‍♂️| man frowning 
🙍‍♀️| woman frowning 
🙎| gesture person pouting pouting 
🙎‍♂️| man pouting 
🙎‍♀️| woman pouting 
🙅| forbidden gesture hand person gesturing no prohibited 
🙅‍♂️| forbidden gesture hand man man gesturing no prohibited 
🙅‍♀️| forbidden gesture hand prohibited woman woman gesturing no 
🙆| gesture hand ok person gesturing ok 
🙆‍♂️| gesture hand man man gesturing ok ok 
🙆‍♀️| gesture hand ok woman woman gesturing ok 
💁| hand help information person tipping hand sassy tipping 
💁‍♂️| man man tipping hand sassy tipping hand 
💁‍♀️| sassy tipping hand woman woman tipping hand 
🙋| gesture hand happy person raising hand raised 
🙋‍♂️| gesture man man raising hand raising hand 
🙋‍♀️| gesture raising hand woman woman raising hand 
🧏| accessibility deaf deaf person ear hear 
🧏‍♂️| deaf man 
🧏‍♀️| deaf woman 
🙇| apology bow gesture person bowing sorry 
🙇‍♂️| man bowing 
🙇‍♀️| woman bowing 
🤦| disbelief exasperation face palm person facepalming 
🤦‍♂️| disbelief exasperation facepalm man man facepalming 
🤦‍♀️| disbelief exasperation facepalm woman woman facepalming 
🤷| doubt ignorance indifference person shrugging shrug 
🤷‍♂️| doubt ignorance indifference man man shrugging shrug 
🤷‍♀️| doubt ignorance indifference shrug woman woman shrugging 
🧑‍⚕️| doctor health worker healthcare nurse therapist 
👨‍⚕️| doctor healthcare man man health worker nurse therapist 
👩‍⚕️| doctor healthcare nurse therapist woman woman health worker 
🧑‍🎓| graduate student 
👨‍🎓| man student 
👩‍🎓| woman student 
🧑‍🏫| instructor professor teacher 
👨‍🏫| man teacher 
👩‍🏫| woman teacher 
🧑‍⚖️| judge justice scales 
👨‍⚖️| man judge 
👩‍⚖️| woman judge 
🧑‍🌾| farmer gardener rancher 
👨‍🌾| man farmer 
👩‍🌾| woman farmer 
🧑‍🍳| chef cook 
👨‍🍳| man cook 
👩‍🍳| woman cook 
🧑‍🔧| electrician mechanic plumber tradesperson 
👨‍🔧| man mechanic 
👩‍🔧| woman mechanic 
🧑‍🏭| factory worker 
👨‍🏭| man factory worker 
👩‍🏭| woman factory worker 
🧑‍💼| architect business manager office worker white collar 
👨‍💼| architect business man man office worker manager white collar 
👩‍💼| architect business manager white collar woman woman office worker 
🧑‍🔬| biologist chemist engineer physicist scientist 
👨‍🔬| man scientist 
👩‍🔬| woman scientist 
🧑‍💻| coder developer inventor software technologist 
👨‍💻| man technologist 
👩‍💻| woman technologist 
🧑‍🎤| actor entertainer rock singer star 
👨‍🎤| man singer 
👩‍🎤| woman singer 
🧑‍🎨| artist palette 
👨‍🎨| man artist 
👩‍🎨| woman artist 
🧑‍✈️| pilot plane 
👨‍✈️| man pilot 
👩‍✈️| woman pilot 
🧑‍🚀| astronaut rocket 
👨‍🚀| man astronaut 
👩‍🚀| woman astronaut 
🧑‍🚒| firefighter firetruck 
👨‍🚒| man firefighter 
👩‍🚒| woman firefighter 
👮| police officer 
👮‍♂️| man police officer 
👮‍♀️| woman police officer 
🕵| detective sleuth spy 
🕵️‍♂️| man detective 
🕵️‍♀️| woman detective 
💂| guard 
💂‍♂️| man guard 
💂‍♀️| woman guard 
🥷| fighter hidden ninja stealth 
👷| construction worker 
👷‍♂️| man construction worker 
👷‍♀️| woman construction worker 
🤴| prince 
👸| fairy tale fantasy princess 
👳| person wearing turban turban 
👳‍♂️| man man wearing turban turban 
👳‍♀️| turban woman woman wearing turban 
👲| cap guy pi mao hat person person skullcap skullcap 
🧕| headscarf hijaz mantilla michel woman headscarf bandana head kerchief 
🤵| groom person person tuxedo tuxedo 
🤵‍♂️| man man tuxedo tuxedo 
🤵‍♀️| tuxedo woman woman tuxedo 
👰| bride person person veil veil wedding 
👰‍♂️| man man veil veil 
👰‍♀️| veil woman woman veil 
🤰| pregnant woman 
🤱| baby breast breast feeding nursing 
👩‍🍼| woman feeding baby 
👨‍🍼| man feeding baby 
🧑‍🍼| person feeding baby 
👼| baby angel 
🎅| celebration christmas claus father santa santa claus 
🤶| celebration christmas claus mother mr mr claus 
🧑‍🎄| claus christmas mx claus 
🦸| good hero heroine superhero superpower 
🦸‍♂️| good hero man man superhero superpower 
🦸‍♀️| good hero heroine superpower woman woman superhero 
🦹| criminal evil superpower supervillain villain 
🦹‍♂️| criminal evil man man supervillain superpower villain 
🦹‍♀️| criminal evil superpower villain woman woman supervillain 
🧙| mage sorcerer sorceress witch wizard 
🧙‍♂️| man mage sorcerer wizard 
🧙‍♀️| sorceress witch woman mage 
🧚| fairy oberon puck titania 
🧚‍♂️| man fairy oberon puck 
🧚‍♀️| titania woman fairy 
🧛| dracula undead vampire 
🧛‍♂️| dracula man vampire undead 
🧛‍♀️| undead woman vampire 
🧜| mermaid german meyerson merriman 
🧜‍♂️| german triton 
🧜‍♀️| mermaid merriman 
🧝| elf magical lot style 
🧝‍♂️| magical man elf 
🧝‍♀️| magical woman elf 
🧞| djinn genie non human color 
🧞‍♂️| djinn man genie 
🧞‍♀️| djinn woman genie 
🧟| undead walking dead zombie non human color 
🧟‍♂️| man zombie undead walking dead 
🧟‍♀️| undead walking dead woman zombie 
💆| face massage person getting massage salon 
💆‍♂️| face man man getting massage massage 
💆‍♀️| face massage woman woman getting massage 
💇| barber beauty haircut parlor person getting haircut 
💇‍♂️| haircut man man getting haircut 
💇‍♀️| haircut woman woman getting haircut 
🚶| hike person walking walk walking 
🚶‍♂️| hike man man walking walk 
🚶‍♀️| hike walk woman woman walking 
🧍| person standing stand standing 
🧍‍♂️| man standing 
🧍‍♀️| woman standing 
🧎| kneel kneeling person kneeling 
🧎‍♂️| man kneeling 
🧎‍♀️| woman kneeling 
🧑‍🦯| accessibility blind person white cane 
👨‍🦯| accessibility blind man man white cane 
👩‍🦯| accessibility blind woman woman white cane 
🧑‍🦼| accessibility person motorized wheelchair wheelchair 
👨‍🦼| accessibility man man motorized wheelchair wheelchair 
