emoji/emoticon|key words
😀|face grin grinning face
😃|face grinning face with big eyes mouth open smile
😄|eye face grinning face with smiling eyes mouth open smile
😁|beaming face with smiling eyes eye face grin smile
😆|face grinning squinting face laugh mouth satisfied smile
😅|cold face grinning face with sweat open smile sweat
🤣|face floor laugh rofl rolling rolling on the floor laughing rotfl
😂|face face with tears of joy joy laugh tear
🙂|face slightly smiling face smile
🙃|upside-down face
😉|face wink winking face
😊|blush eye face smile smiling face with smiling eyes
😇|angel face fantasy halo innocent smiling face with halo
🥰|adore crush hearts in love smiling face with hearts
😍|eye face love smile smiling face with heart-eyes
🤩|eyes face grinning star star-struck starry-eyed
😘|face face blowing a kiss kiss
😗|face kiss kissing face
☺|face outlined relaxed smile smiling face
😚|closed eye face kiss kissing face with closed eyes
😙|eye face kiss kissing face with smiling eyes smile
🥲|grateful proud relieved smiling smiling face with tear tear touched
😋|delicious face face savoring food savouring smile yum
😛|face face with tongue tongue
😜|eye face joke tongue wink winking face with tongue
🤪|eye goofy large small zany face
😝|eye face horrible squinting face with tongue taste tongue
🤑|face money money-mouth face mouth
🤗|hugging face
🤭|face with hand over mouth whoops shock sudden realization surprise
🤫|quiet shush shushing face
🤔|thinking face
🤐|face mouth zipper zipper-mouth face
🤨|distrust face with raised eyebrow skeptic disapproval disbelief mild surprise scepticism
😐|neutral face
😑|expressionless face
😶|face face without mouth mouth quiet silent
😶‍🌫️|⊛ face in clouds
😏|face smirk smirking face
😒|unamused face
🙄|eyeroll eyes face face with rolling eyes rolling
😬|face grimace grimacing face
😮‍💨|⊛ face exhaling
🤥|face lie lying face pinocchio
😌|relieved face
😔|pensive face
😪|face sleep sleepy face
🤤|drooling face
😴|face sleep sleeping face zzz
😷|cold doctor face face with medical mask mask sick
🤒|face face with thermometer ill sick thermometer
🤕|bandage face face with head-bandage hurt injury
🤢|nauseated face
🤮|face vomiting sick vomit
🤧|face gesundheit sneeze sneezing face
🥵|feverish heat stroke hot hot face red-faced sweating
🥶|blue-faced cold cold face freezing frostbite icicles
🥴|dizzy intoxicated tipsy uneven eyes wavy mouth woozy face
😵|dead face knocked out knocked-out face
😵‍💫|⊛ face with spiral eyes
🤯|exploding head mind blown shocked
🤠|cowboy hat face
🥳|celebration hat horn party partying face
🥸|disguise disguised face face glasses incognito nose
😎|bright cool face smiling face with sunglasses sun sunglasses
🤓|nerd face
🧐|face with monocle stuffy wealthy
😕|confused face
😟|worried face
🙁|face frown slightly frowning face
☹|face frown frowning face
😮|face face with open mouth mouth open sympathy
😯|hushed face
😲|astonished face
😳|flushed face
🥺|begging mercy pleading face puppy eyes
😦|face frown frowning face with open mouth mouth open
😧|anguished face
😨|fearful face
😰|anxious face with sweat blue cold face rushed sweat
😥|disappointed face relieved sad but relieved face whew
😢|cry crying face face sad tear
😭|cry face loudly crying face sad sob tear
😱|face face screaming in fear fear munch scared scream
😖|confounded face
😣|face persevere persevering face
😞|disappointed face
😓|cold downcast face with sweat face sweat
😩|weary face
😫|tired face
🥱|bored tired yawn yawning face
😤|face face with steam from nose triumph won
😡|pouting face
😠|angry face
🤬|face with symbols on mouth swearing cursing
😈|face fairy tale fantasy horns smile smiling face with horns
👿|angry face with horns demon devil face fantasy imp
💀|death face fairy tale monster skull
☠|crossbones death face monster skull skull and crossbones
💩|dung face monster pile of poo poo poop
🤡|clown face
👹|creature face fairy tale fantasy monster ogre troll
👺|creature face fairy tale fantasy goblin monster
👻|creature face fairy tale fantasy ghost monster
👽|alien creature extraterrestrial face fantasy ufo
👾|alien monster
🤖|face monster robot
😺|grinning cat
😸|cat eye face grin grinning cat with smiling eyes smile
😹|cat cat with tears of joy face joy tear
😻|cat eye face heart love smile smiling cat with heart-eyes
😼|cat cat with wry smile face ironic smile wry
😽|cat eye face kiss kissing cat
🙀|weary cat
😿|cat cry crying cat face sad tear
😾|pouting cat
